NAME,Month,Longitude,Latitude,O3,B1,B6,SAA,SAZ,SOA,SOZ,边界层高(PBLH),相对湿度(RH),气压(PRES),大气温度(TMP),水平风速(U-GRD),垂直风速(V-GRD)
1032A,1.0,114.4586111,38.00583333,5.0,0.0923,0.0481,141.388,51.875,1.261,72.582,1026.744,89.85,99245.1037,274.003,-10.5432,-3.3253
1033A,1.0,114.5330556,38.01777778,4.0,0.0927,0.0482,141.45,51.847,1.301,72.583,1031.7163,90.0302,99245.1025,273.8891,-10.5312,-3.2741
1034A,1.0,114.5214,38.0524,3.0,0.0892,0.0506,141.481,51.892,1.302,72.624,1044.2366,90.0721,99261.3762,273.9523,-10.8658,-3.4116
1035A,1.0,114.3541,37.9097,40.0,0.0887,0.0598,141.203,51.843,1.179,72.502,988.0612,89.3945,99204.6458,274.059,-9.898,-3.1593
1037A,1.0,118.144,39.643,4.0,0.088,0.0513,146.935,51.468,4.311,73.943,1093.3373,92.223,99989.3181,273.8582,-17.8794,-1.2343
1038A,1.0,118.1853,39.6407,3.0,0.0876,0.0435,147.001,51.444,4.351,73.946,1088.4968,92.2981,99991.5233,273.8582,-17.8897,-1.2062
1040A,1.0,118.1838,39.65782,1.0,0.0879,0.0563,147.029,51.491,4.35,73.985,1099.9723,91.8586,100017.2817,273.9094,-17.8541,-1.2272
1042A,1.0,119.5259,39.8283,18.0,0.09,0.0502,148.87,51.023,5.484,74.175,997.7036,93.3626,100169.8392,273.8585,-17.86,-0.6549
1043A,1.0,119.7624,40.0181,9.0,0.0845,0.0495,149.303,51.103,5.691,74.344,1019.259,92.6998,100288.3424,274.0385,-17.7459,-0.6328
1044A,1.0,119.6023,39.9567,2.0,0.0816,0.0497,149.081,51.121,5.566,74.298,1023.1959,92.5745,100252.9327,273.9994,-17.7678,-0.6688
1046A,1.0,119.5369,39.9419,9.0,0.0921,0.0519,148.923,51.117,5.482,74.253,1021.921,92.6303,100220.7473,273.9552,-17.7947,-0.6856
1048A,1.0,114.5426,36.6164,6.0,0.0925,0.0511,140.553,50.645,1.31,71.49,323.3909,95.688,97409.1289,263.5934,-2.6938,-1.9194
1049A,1.0,114.5035,36.5776,4.0,0.0944,0.0471,140.52,50.602,1.311,71.451,309.9804,95.678,97471.1763,263.5465,-2.6018,-1.8357
1050A,1.0,114.4965,36.61981,9.0,0.0933,0.0504,140.49,50.673,1.268,71.487,296.2683,95.7625,97320.0861,263.3095,-2.6358,-1.9805
1051A,1.0,115.493,38.8632,4.0,0.0865,0.0543,143.143,52.086,2.093,73.265,1167.3538,90.5761,99557.9027,273.9734,-15.3961,-3.7286
1052A,1.0,115.5223,38.8957,3.0,0.0867,0.0481,143.205,52.062,2.134,73.267,1164.4305,90.6113,99558.4553,273.9335,-15.414,-3.6898
1054A,1.0,115.4612,38.8416,5.0,0.0874,0.0511,143.113,52.043,2.094,73.226,1157.0087,90.6697,99533.9593,273.9606,-15.2956,-3.7955
1055A,1.0,115.442,38.8756,6.0,0.0849,0.0577,143.083,52.113,2.049,73.265,1170.2771,90.5408,99557.3502,274.0133,-15.3782,-3.7673
1056A,1.0,115.5214,38.8707,5.0,0.0867,0.0481,143.205,52.062,2.134,73.267,1164.4305,90.6113,99558.4553,273.9335,-15.414,-3.6898
1057A,1.0,114.8985,40.8367,30.0,0.0697,0.0468,143.523,54.112,1.568,74.781,1543.668,78.4302,100502.1342,274.8616,-16.0683,-2.6781
1059A,1.0,114.8814,40.8115,28.0,0.0697,0.0468,143.523,54.112,1.568,74.781,1543.668,78.4302,100502.1342,274.8616,-16.0683,-2.6781
1060A,1.0,114.9032,40.7688,28.0,0.024,0.0161,143.555,54.043,1.613,74.742,1538.7157,78.8392,100480.0579,274.8551,-16.1778,-2.7196
1061A,1.0,114.904,40.8725,29.0,0.0636,0.0485,143.611,54.132,1.61,74.821,1542.4462,78.1414,100526.1829,274.8517,-15.994,-2.6116
1062A,1.0,117.9664,40.9161,3.0,0.0412,0.0205,147.443,52.742,4.173,74.953,1328.9182,82.875,100645.9476,274.8031,-16.4183,-1.3165
1063A,1.0,117.9525,40.9843,7.0,0.053,0.0316,147.469,52.788,4.173,74.993,1328.8942,82.789,100670.6359,274.7901,-16.3009,-1.2528
1064A,1.0,117.963,40.9359,5.0,0.0412,0.0205,147.443,52.742,4.173,74.953,1328.9182,82.875,100645.9476,274.8031,-16.4183,-1.3165
1066A,1.0,117.9384,41.0112,6.0,0.0502,0.0328,147.431,52.855,4.132,75.031,1332.9952,82.5977,100693.1477,274.7841,-16.1805,-1.2137
1067A,1.0,116.6838,39.5178,1.0,0.0849,0.0515,145.029,52.065,3.092,73.806,1219.0232,90.5331,99888.7764,273.7606,-17.2028,-2.1336
1068A,1.0,116.7729,39.5747,2.0,0.0856,0.0512,145.183,52.063,3.176,73.849,1218.7012,90.5791,99915.5037,273.8069,-17.3548,-2.0264
1070A,1.0,116.7464,39.5343,1.0,0.0846,0.0525,145.092,52.042,3.133,73.808,1213.8764,90.5838,99890.1616,273.7582,-17.2282,-2.1034
1071A,1.0,116.8854,38.2991,3.0,0.0918,0.0492,144.553,50.84,3.271,72.838,888.3989,92.6183,99349.5287,270.5194,-12.2148,-1.9559
1072A,1.0,116.8584,38.3254,9.0,0.0891,0.0564,144.583,50.883,3.271,72.876,907.4803,92.4775,99365.6758,270.8471,-12.689,-2.0823
1073A,1.0,116.8709,38.3228,4.0,0.0891,0.0564,144.583,50.883,3.271,72.876,907.4803,92.4775,99365.6758,270.8471,-12.689,-2.0823
1074A,1.0,115.6951,37.7575,3.0,0.0942,0.0635,142.725,51.013,2.271,72.409,1020.2497,94.0887,99169.2963,270.3284,-8.1665,-1.4463
1075A,1.0,115.6426,37.7379,2.0,0.095,0.0592,142.633,50.995,2.228,72.371,1032.4515,94.2492,99152.7498,270.2586,-7.8117,-1.3368
1077A,1.0,114.4821,37.0967,9.0,0.0921,0.05,140.784,51.059,1.269,71.841,576.413,92.9205,98119.7439,267.8938,-4.9894,-2.0963
1078A,1.0,114.5261,37.0533,5.0,0.0926,0.0511,140.845,51.031,1.312,71.841,596.2672,93.0058,98169.29,267.9776,-5.0067,-2.0374
1079A,1.0,114.5331,37.0964,7.0,0.0926,0.0511,140.845,51.031,1.312,71.841,596.2672,93.0058,98169.29,267.9776,-5.0067,-2.0374
1080A,1.0,114.4854,37.062,5.0,0.0921,0.05,140.784,51.059,1.269,71.841,576.413,92.9205,98119.7439,267.8938,-4.9894,-2.0963
1081A,1.0,112.522,37.8873,2.0,0.0872,0.0553,138.933,52.833,-0.373,72.456,877.5808,93.4509,97540.9612,267.6261,-7.1143,-5.4234
1083A,1.0,112.434,38.0108,4.0,0.076,0.0585,138.908,53.015,-0.458,72.572,962.7095,92.6566,97863.1759,269.2219,-8.1869,-5.7361
1084A,1.0,112.469,37.7124,3.0,0.0709,0.0433,138.775,52.738,-0.414,72.338,789.6015,94.4426,97090.0848,266.0499,-5.8511,-5.2844
1085A,1.0,112.5583,37.7394,4.0,0.089,0.0498,138.895,52.682,-0.329,72.34,793.7276,94.2484,97201.8346,266.0388,-5.9861,-5.1522
1086A,1.0,112.5369,37.8692,2.0,0.0872,0.0553,138.933,52.833,-0.373,72.456,877.5808,93.4509,97540.9612,267.6261,-7.1143,-5.4234
1087A,1.0,112.57,37.8195,5.0,0.0896,0.0445,138.96,52.763,-0.329,72.417,850.4487,93.6676,97458.6751,267.0928,-6.7812,-5.293
1088A,1.0,112.549,37.9854,3.0,0.0865,0.0608,138.994,52.915,-0.375,72.532,934.8583,92.8545,97804.2956,268.6805,-7.9114,-5.5601
1090A,1.0,111.651,40.7579,9.0,0.0779,0.0485,139.681,55.717,-1.122,74.735,1640.9229,76.5644,100458.6822,275.3901,-14.7212,-3.3465
1091A,1.0,111.658,40.8033,8.0,0.078,0.0489,139.709,55.76,-1.122,74.773,1641.6418,76.4351,100478.7618,275.3305,-14.6793,-3.2719
1094A,1.0,111.751,40.8369,4.0,0.0764,0.0505,139.825,55.705,-1.04,74.772,1641.6277,76.4342,100478.7462,275.3115,-14.7266,-3.2606
1095A,1.0,111.7277,40.8062,4.0,0.0801,0.0515,139.765,55.733,-1.079,74.773,1641.6347,76.4346,100478.754,275.321,-14.7029,-3.2662
1096A,1.0,111.551,40.7866,3.0,0.0786,0.0573,139.564,55.772,-1.206,74.734,1640.7611,76.5409,100458.7865,275.4093,-14.6724,-3.3604
1097A,1.0,111.717,40.7612,5.0,0.0783,0.047,139.738,55.692,-1.079,74.732,1641.0038,76.5761,100458.63,275.3805,-14.7457,-3.3396
1098A,1.0,123.6836,41.9339,49.0,0.0109,0.0062,155.414,51.454,-27.041,76.13,633.7195,97.7144,101378.3011,269.2787,-10.9758,0.0117
1099A,1.0,123.535,41.7561,12.0,0.0275,0.0131,155.149,51.354,-27.168,75.998,630.7652,98.5538,101340.113,270.6663,-12.0301,-0.6219
1100A,1.0,123.439,41.7089,5.0,0.0256,0.0111,154.992,51.339,-27.251,75.951,629.5595,98.8769,101324.7299,271.7222,-12.5519,-0.8055
1102A,1.0,123.542,41.8336,14.0,0.0254,0.0132,155.17,51.404,-27.167,76.037,634.2944,98.1448,101350.4305,270.7366,-11.8509,-0.3888
1103A,1.0,123.428,41.8472,9.0,0.011,0.0045,155.034,51.439,-27.249,76.029,638.0005,97.9728,101345.4859,271.8324,-12.1943,-0.342
1104A,1.0,123.41,41.765,8.0,0.0259,0.0125,155.013,51.389,-27.252,75.991,633.78,98.4248,101335.1079,271.7773,-12.3731,-0.5737
1105A,1.0,123.478,41.7775,4.0,0.0263,0.0127,155.081,51.372,-27.21,75.995,632.2726,98.4893,101337.6105,271.2218,-12.2016,-0.5978
1106A,1.0,123.3997,41.7972,5.0,0.011,0.0044,154.944,51.405,-27.293,75.984,635.2874,98.3604,101332.6054,272.3328,-12.5446,-0.5496
1108A,1.0,123.3783,41.9228,8.0,0.0111,0.0059,155.01,51.556,-27.292,76.102,648.986,96.9397,101363.8302,272.4754,-12.009,0.1433
1109A,1.0,121.61194444,38.973888889,42.0,0.0885,0.0458,151.238,49.31,-28.753,73.657,557.2704,98.7327,99741.2455,267.1901,-14.0126,-1.7
1110A,1.0,121.565,38.951111111,5.0,0.0902,0.0494,151.171,49.33,-28.794,73.654,561.4442,98.8317,99765.7321,267.5316,-14.056,-1.6691
1111A,1.0,121.56388889,38.885,52.0,0.0852,0.041,151.117,49.233,-28.792,73.577,542.617,98.6982,99694.7196,266.635,-13.457,-1.7804
1112A,1.0,121.63305556,38.911944444,42.0,0.0881,0.0399,151.212,49.261,-28.752,73.619,548.0817,98.6566,99703.4785,266.7159,-13.7128,-1.7567
1113A,1.0,121.625,38.863888889,59.0,0.0876,0.0403,151.185,49.213,-28.751,73.581,538.893,98.5805,99665.7116,266.2416,-13.413,-1.8134
1114A,1.0,121.51805556,38.856111111,16.0,0.0821,0.0386,151.05,49.253,-28.835,73.573,546.3409,98.8158,99723.7277,267.0285,-13.5011,-1.7474
1115A,1.0,121.25888889,38.808055556,47.0,0.0889,0.0515,150.681,49.311,-29.044,73.515,560.6539,99.0344,99787.7489,268.4018,-13.6117,-1.6067
1116A,1.0,121.7481,39.1311,32.0,0.0852,0.0522,151.453,49.414,-28.669,73.783,575.1388,98.819,99819.1378,268.0857,-14.8271,-1.5853
1117A,1.0,121.7769,39.0511,37.0,0.0841,0.0504,151.494,49.344,-28.626,73.747,561.7763,98.6439,99756.8843,267.27,-14.4839,-1.673
1118A,1.0,121.9769,39.0631,60.0,0.0852,0.0506,151.77,49.263,-28.458,73.765,543.2812,98.3224,99677.0239,266.1118,-14.3129,-1.7882
1127A,1.0,125.25,43.8167,15.0,0.0135,0.0067,158.242,52.887,-25.737,77.756,773.7361,85.1088,101649.2519,269.9208,-5.0121,2.8888
1131A,1.0,126.979,45.5422,5.0,0.021,0.0076,161.14,54.164,-24.27,79.264,998.0754,67.8986,101753.0388,271.2779,-4.4259,2.1593
1133A,1.0,126.689,45.7733,22.0,0.0164,0.0069,160.817,54.499,-24.526,79.424,1132.2764,69.197,101758.6948,270.8997,-4.7974,2.0263
1134A,1.0,126.635,45.7667,26.0,0.0315,0.0109,160.75,54.512,-24.568,79.418,1133.1703,69.0669,101757.1958,270.893,-4.8241,2.0154
1135A,1.0,126.685,45.7319,13.0,0.0163,0.0081,160.802,54.448,-24.524,79.387,1104.5678,68.5735,101755.0236,271.0018,-4.7668,2.0525
1136A,1.0,126.646,45.7258,29.0,0.0481,0.0195,160.735,54.46,-24.568,79.379,1105.8606,68.4523,101753.5387,270.9987,-4.7976,2.044
1140A,1.0,126.6206,45.6842,30.0,0.0118,0.0037,160.72,54.409,-24.567,79.341,1078.5509,67.8377,101749.8816,271.1044,-4.771,2.0727
1141A,1.0,121.4,31.238,62.0,0.0241,0.0199,146.045,41.992,-28.834,67.664,459.4047,94.4732,97536.635,264.2931,0.2404,3.3473
1143A,1.0,121.467,31.3008,48.0,0.0151,0.0087,146.196,42.059,-28.796,67.743,458.3741,94.4354,97531.2533,264.2537,0.211,3.3148
1144A,1.0,121.412,31.1654,61.0,0.0107,0.0073,146.009,41.945,-28.831,67.625,461.2173,94.4962,97550.6032,264.3182,0.2481,3.3626
1145A,1.0,121.536,31.2659,36.0,0.046,0.0299,146.232,41.985,-28.753,67.709,462.5631,94.4632,97563.4845,264.2854,0.2054,3.3291
1147A,1.0,121.425,31.2261,58.0,0.0241,0.0199,146.045,41.992,-28.834,67.664,459.4047,94.4732,97536.635,264.2931,0.2404,3.3473
1149A,1.0,121.533,31.2284,54.0,0.0439,0.0265,146.194,41.939,-28.747,67.673,464.1576,94.4827,97573.1612,264.3062,0.2136,3.3452
1150A,1.0,121.577,31.2071,59.0,0.033,0.0224,146.27,41.912,-28.707,67.677,466.534,94.4875,97591.4242,264.3127,0.2001,3.3442
1151A,1.0,118.803,32.1083,41.0,0.0062,0.0014,142.992,44.261,4.947,68.16,292.9284,95.2941,97860.521,263.4122,0.1731,2.6928
1154A,1.0,118.777,32.0144,41.0,0.0177,0.0109,142.846,44.2,4.913,68.082,295.224,95.3066,97981.3945,263.6072,0.212,2.6544
1167A,1.0,120.641,31.3708,38.0,0.0186,0.0139,144.981,42.565,-29.508,67.711,391.7555,94.5515,97387.5898,263.9577,0.3892,3.1992
1168A,1.0,120.913,31.96,43.0,0.0169,0.0089,145.873,42.96,-29.291,68.193,396.6753,94.2135,97342.3691,263.616,0.1654,3.237
1169A,1.0,120.86,32.0005,50.0,0.0175,0.0133,145.838,43.033,-29.334,68.226,391.9448,94.2112,97339.1405,263.5598,0.1538,3.2334
1170A,1.0,120.87,32.02,49.0,0.0175,0.0133,145.838,43.033,-29.334,68.226,391.9448,94.2112,97339.1405,263.5598,0.1538,3.2334
1171A,1.0,120.94,31.93,36.0,0.0253,0.02,145.836,42.913,-29.287,68.155,397.5619,94.2401,97338.2225,263.6489,0.1858,3.2274
1172A,1.0,120.81,32.0417,41.0,0.0347,0.0214,145.764,43.06,-29.378,68.222,388.1009,94.2355,97331.7653,263.5365,0.1626,3.2202
1173A,1.0,119.176,34.5885,51.0,0.0279,0.0127,145.243,46.292,5.204,70.072,332.9417,94.9865,98158.2812,263.2634,-0.9561,2.799
1177A,1.0,117.167,34.2761,56.0,0.0401,0.0207,142.338,47.11,3.53,69.738,271.9675,95.487,98216.3566,263.9369,-0.1839,2.4515
1178A,1.0,117.1917,34.2328,41.0,0.0575,0.026,142.303,47.065,3.529,69.698,274.095,95.4714,98204.787,263.9479,-0.1366,2.4585
1180A,1.0,117.256,34.2153,43.0,0.04,0.0191,142.434,47.009,3.612,69.702,278.9577,95.4192,98234.0292,263.9597,-0.1964,2.5096
1181A,1.0,117.2458,34.2908,51.0,0.04,0.02,142.404,47.082,3.571,69.739,274.589,95.4596,98230.5219,263.9417,-0.2129,2.4787
1182A,1.0,117.2933,34.2778,33.0,0.041,0.0211,142.47,47.053,3.613,69.741,277.2105,95.4321,98244.6872,263.9466,-0.2418,2.5058
1186A,1.0,119.389,32.3761,62.0,0.0209,0.0112,143.951,44.175,5.393,68.384,295.829,95.2829,97536.6714,262.909,-0.0906,2.7418
1193A,1.0,120.354,31.5475,44.0,0.0193,0.0154,144.733,42.843,6.275,67.807,363.1684,94.5748,97300.2737,263.7022,0.4326,3.141
1195A,1.0,120.288,31.6842,50.0,0.0207,0.0162,144.704,43.035,6.184,67.915,349.9806,94.6706,97314.3644,263.5624,0.3529,3.0757
1200A,1.0,119.935,31.7039,46.0,0.0181,0.013,144.24,43.275,5.89,67.926,331.3627,95.1147,97557.7457,263.6175,0.1021,2.9131
1204A,1.0,119.491,32.215,38.0,0.0343,0.0235,143.98,43.983,5.488,68.278,302.8733,95.3097,97594.2221,263.1146,-0.1018,2.7599
1205A,1.0,119.43,32.1319,41.0,0.0178,0.0132,143.833,43.921,5.449,68.197,301.138,95.4424,97670.9439,263.2365,-0.1376,2.7299
1209A,1.0,119.888,32.4639,62.0,0.0296,0.0197,144.731,43.99,5.807,68.498,322.883,94.7681,97380.3366,262.9167,-0.0225,2.9158
1210A,1.0,119.036,33.5981,61.0,0.0116,0.0068,144.34,45.458,5.076,69.29,318.5463,94.4964,97247.6485,262.7368,-0.1237,3.2282
1211A,1.0,119.007,33.575,55.0,0.0116,0.0068,144.34,45.458,5.076,69.29,318.5463,94.4964,97247.6485,262.7368,-0.1237,3.2282
1212A,1.0,118.989,33.6067,58.0,0.0113,0.0076,144.307,45.531,5.036,69.323,319.3077,94.5284,97277.6268,262.7783,-0.1439,3.2485
1213A,1.0,119.135,33.5039,40.0,0.0464,0.0279,144.443,45.358,5.16,69.256,318.921,94.4125,97190.7364,262.673,-0.0994,3.2066
1214A,1.0,119.0186,33.6297,60.0,0.0476,0.0334,144.374,45.503,5.078,69.326,320.414,94.4645,97242.7391,262.749,-0.1349,3.2492
1215A,1.0,120.118,33.4022,62.0,0.0512,0.0321,145.772,44.732,5.997,69.244,348.6806,94.0487,97583.8595,262.9956,-0.5256,3.1138
1216A,1.0,120.156,33.3942,31.0,0.0604,0.0376,145.808,44.659,6.039,69.211,349.7589,94.0629,97597.6217,263.0153,-0.5242,3.1044
1218A,1.0,120.225,33.3947,58.0,0.0118,0.0062,145.88,44.633,6.078,69.213,351.6723,94.049,97628.8884,263.0444,-0.5532,3.1027
1220A,1.0,118.293,33.9528,8.0,0.0401,0.0221,143.599,46.23,4.449,69.556,302.1022,95.3314,97841.5843,263.2947,-0.4501,2.9695
1221A,1.0,118.2442,33.9592,25.0,0.0417,0.0268,143.53,46.255,4.407,69.553,301.4675,95.3305,97862.3622,263.3366,-0.4273,2.947
1224A,1.0,120.063,30.2747,66.0,0.0064,0.0015,143.306,41.873,6.064,66.827,404.5364,94.8222,97604.6638,264.7819,0.7524,3.0565
1227A,1.0,120.127,30.2456,40.0,0.0059,0.0011,143.34,41.801,6.106,66.793,409.2599,94.8194,97618.6453,264.8281,0.7478,3.0748
1242A,1.0,120.634,28.0089,74.0,0.0128,0.0047,142.179,39.522,-29.428,65.155,397.0081,95.0642,98159.087,265.5213,0.4847,2.8901
1243A,1.0,120.677,27.9939,62.0,0.0126,0.0063,142.209,39.446,-29.385,65.121,396.8533,95.0532,98197.3794,265.5522,0.4686,2.901
1244A,1.0,120.76,27.9747,20.0,0.0122,0.0046,142.361,39.385,-29.304,65.129,401.957,95.0283,98211.9316,265.5555,0.4314,2.9439
1245A,1.0,120.671,28.0167,65.0,0.0123,0.0063,142.253,39.492,-29.388,65.159,399.3771,95.0505,98165.6735,265.5207,0.466,2.9111
1253A,1.0,120.726,30.7478,55.0,0.0073,0.0018,144.621,41.913,-29.402,67.221,432.9354,94.7308,97645.2128,264.602,0.4285,3.3453
1265A,1.0,118.871,28.9664,56.0,0.0229,0.0173,140.471,41.446,5.089,65.751,326.6812,95.5891,97561.9383,265.0529,0.9204,2.3926
1266A,1.0,118.855,28.9745,42.0,0.0229,0.0173,140.471,41.446,5.089,65.751,326.6812,95.5891,97561.9383,265.0529,0.9204,2.3926
1270A,1.0,117.196,31.7848,17.0,0.0318,0.0156,140.464,44.924,3.592,67.807,234.5357,94.7119,98053.6742,263.7056,1.2359,2.3175
1271A,1.0,117.307,31.8766,14.0,0.0347,0.0158,140.744,44.922,3.712,67.891,228.7076,94.7906,97881.8744,263.5142,1.1158,2.3787
1272A,1.0,117.259,31.8706,16.0,0.0528,0.0248,140.679,44.952,3.67,67.89,230.0047,94.8073,97908.3757,263.5243,1.1379,2.369
1273A,1.0,117.16,31.9051,18.0,0.0708,0.0394,140.582,45.054,3.585,67.923,231.6305,94.905,97915.2304,263.4637,1.155,2.3653
1274A,1.0,117.25,31.8572,14.0,0.0447,0.0206,140.611,44.982,3.629,67.886,231.3018,94.824,97934.877,263.5343,1.1599,2.3592
1275A,1.0,117.266,31.9438,4.0,0.0606,0.0292,140.716,44.993,3.668,67.928,228.9249,94.8709,97856.702,263.4275,1.1137,2.3871
1276A,1.0,117.336,31.8585,18.0,0.0347,0.0158,140.744,44.922,3.712,67.891,228.7076,94.7906,97881.8744,263.5142,1.1158,2.3787
1277A,1.0,117.302,31.7956,21.0,0.0814,0.054,140.664,44.833,3.717,67.814,230.9783,94.6641,97990.7476,263.7239,1.1614,2.3403
1278A,1.0,117.278,31.7386,32.0,0.0685,0.0482,140.56,44.822,3.679,67.774,233.2438,94.6164,98063.3968,263.8146,1.2104,2.3145
1279A,1.0,117.124,31.8516,15.0,0.0559,0.0313,140.475,45.042,3.545,67.882,233.896,94.8573,97987.8796,263.5544,1.204,2.3396
1280A,1.0,119.389,26.0542,91.0,0.0622,0.0531,138.447,38.627,5.57,63.581,414.3101,96.0809,98695.5447,268.1376,0.9499,3.4635
1282A,1.0,119.303,26.0392,82.0,0.0898,0.077,138.323,38.619,5.531,63.539,415.6023,96.1007,98698.5277,268.2228,1.0012,3.5091
1285A,1.0,119.315,26.0753,68.0,0.0731,0.0617,138.373,38.662,5.529,63.578,413.1721,96.0858,98684.8397,268.1679,0.9795,3.4445
1286A,1.0,118.15694444,24.818055556,86.0,0.0465,0.0241,135.411,38.432,4.578,62.561,433.9372,95.8928,97962.5057,269.2634,1.8935,4.8372
1287A,1.0,118.15138889,24.476666667,55.0,0.0884,0.0468,135.03,38.15,4.581,62.297,431.8333,95.712,97894.4304,269.0411,1.8686,5.248
1288A,1.0,118.06361111,24.445833333,70.0,0.0824,0.0123,134.833,38.182,4.497,62.253,430.4973,95.6986,97897.9217,269.0627,1.8518,5.1666
1299A,1.0,116.988,36.6114,53.0,0.0875,0.0461,143.66,49.305,3.364,71.556,260.0137,95.1237,98969.4824,264.1427,-3.7179,0.6616
1300A,1.0,116.93,36.67,42.0,0.097,0.0486,143.627,49.376,3.324,71.591,284.8915,95.0908,98977.204,264.3104,-3.8291,0.5784
1301A,1.0,117.114,36.6739,64.0,0.0901,0.0491,143.886,49.272,3.49,71.601,253.4245,95.0758,98985.4749,263.9959,-3.8389,0.7218
1303A,1.0,117.0684,36.6868,63.0,0.081,0.0424,143.823,49.299,3.449,71.599,261.2912,95.0795,98983.4071,264.0746,-3.8365,0.686
1304A,1.0,116.943,36.6489,47.0,0.0961,0.0527,143.594,49.333,3.323,71.552,267.7106,95.1263,98967.3497,264.2176,-3.7144,0.625
1305A,1.0,117.049,36.6622,71.0,0.0917,0.0469,143.757,49.325,3.408,71.596,269.158,95.0833,98981.3394,264.1532,-3.834,0.6501
1306A,1.0,116.7672,36.5464,43.0,0.0975,0.0573,143.336,49.323,3.195,71.471,271.5283,95.2103,98917.1496,264.269,-3.4836,0.6267
1310A,1.0,120.4134,36.0654,59.0,0.0239,0.0116,147.94,47.062,6.254,71.317,311.9672,94.7002,98638.7257,263.4344,-2.5932,2.7231
1312A,1.0,120.2992,36.0543,36.0,0.0482,0.0025,147.732,47.133,6.128,71.307,310.1092,94.7526,98655.1806,263.4846,-2.5781,2.6731
1313A,1.0,120.4587,36.0851,48.0,0.0185,0.0072,148.009,47.038,-29.704,71.319,312.9056,94.6902,98619.0367,263.4159,-2.6044,2.7408
1315A,1.0,120.4001,36.2403,26.0,0.0467,0.0288,148.031,47.203,6.255,71.434,301.8458,94.6662,98768.6954,263.5318,-2.8948,2.8321
1316A,1.0,113.6844,34.7622,12.0,0.0965,0.0526,138.233,49.586,0.597,70.04,417.8866,94.9875,98449.3403,265.5946,0.9356,-1.0623
1317A,1.0,113.641,34.7745,14.0,0.094,0.0554,138.171,49.616,0.556,70.04,439.6157,94.8654,98513.3658,265.7994,0.9782,-1.1644
1318A,1.0,113.675,34.8019,11.0,0.0948,0.0543,138.268,49.628,0.596,70.079,416.8721,94.9324,98470.937,265.6723,0.8401,-1.1635
1319A,1.0,113.564,34.802,8.0,0.0918,0.0627,138.144,49.689,0.514,70.077,460.5774,94.6925,98592.6234,266.0908,0.9222,-1.3766
